Data set,Source,Predation or Parasitism,Dim,Field?,Habitat,Fresh or marine (fish only),Predator cellularity,Vert/invert,Major grouping 1,Major grouping 2,Predator scientific name,Predator type,Prey cellularity,Vert/invert,Major grouping 1,Major grouping 2,Prey,Prey scientific name,Prey type,Data type,Prey replaced?,Hours starved,Temp (C ),Interference,Pred per arena,2D Arena size (cm2 for arena bottom),3D arena size (cm3 of arena volume),Predator mass (mg),Predator mass source code,Predator mass regression code,Prey mass (mg),Prey mass source code,Prey mass regression code,Units of a,Data set,Mean R2 of fits,Fitted a (median of BS samples),CI a low,CI a hi,Fittted h (day),CI h low,CI h hi,Number of bootstraps,Notes 1,Notes 2
1199,Shukla et al 1990 J ADV ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coccinella septempunctata,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Mustard aphid,Lipaphis erysimi,2nd instar,Mean,N,24,24.0,,1,44.18,,8.32E+00,Alternate species mass,,1.10E-01,% adult mass,,m^2 per pred per day,1199,0.87,1.35E-02,1.18E-02,1.50E-02,1.23E-03,1.12E-03,1.32E-03,200,"6 hr predation period, Used avg of adult male (21mg, Kumar er al) and female (19.39, Sabo et al) weights to calc instar mass",
1200,Shukla et al 1990 J ADV ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coccinella septempunctata,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Mustard aphid,Lipaphis erysimi,2nd instar,Mean,N,24,24.0,,1,44.18,,8.32E+00,Alternate species mass,,1.10E-01,% adult mass,,m^2 per pred per day,1200,0.88,9.03E-03,7.63E-03,1.06E-02,1.54E-03,1.35E-03,1.72E-03,200,"9 hr predation period, Used avg of adult male (21mg, Kumar er al) and female (19.39, Sabo et al) weights to calc instar mass",
1201,Shukla et al 1990 J ADV ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coccinella septempunctata,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Mustard aphid,Lipaphis erysimi,2nd instar,Mean,N,24,24.0,,1,44.18,,8.32E+00,Alternate species mass,,1.10E-01,% adult mass,,m^2 per pred per day,1201,0.86,7.71E-03,6.57E-03,8.76E-03,1.93E-03,1.74E-03,2.18E-03,200,"12 hr predation period, Used avg of adult male (21mg, Kumar er al) and female (19.39, Sabo et al) weights to calc instar mass",
1202,Shukla et al 1990 J ADV ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coccinella septempunctata,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Mustard aphid,Lipaphis erysimi,2nd instar,Mean,N,24,24.0,,1,44.18,,8.32E+00,Alternate species mass,,1.10E-01,% adult mass,,m^2 per pred per day,1202,0.85,5.31E-03,4.41E-03,6.10E-03,2.59E-03,2.26E-03,2.87E-03,200,"18 hr predation period, Used avg of adult male (21mg, Kumar er al) and female (19.39, Sabo et al) weights to calc instar mass",
1203,Shukla et al 1990 J ADV ZOOL,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coccinella septempunctata,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Mustard aphid,Lipaphis erysimi,2nd instar,Mean,N,24,24.0,,1,44.18,,8.32E+00,Alternate species mass,,1.10E-01,% adult mass,,m^2 per pred per day,1203,0.85,4.25E-03,3.61E-03,5.10E-03,3.05E-03,2.69E-03,3.46E-03,200,"24 hr predation period, Used avg of adult male (21mg, Kumar er al) and female (19.39, Sabo et al) weights to calc instar mass",
1204,Sentis et al 2012 OECOLOGIA,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coleomegilla maculata,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Green peach aphid,Myzus persicae,3rd instar,Raw data,N,21,13.9,,1,314.16,14137.17,4.71E+00,Original species mass,,1.70E-01,Original species mass,,m^2.5 per pred per day,1204,0.80,5.37E-01,4.41E-01,6.41E-01,2.31E-02,1.74E-02,2.72E-02,200,,
1205,Sentis et al 2012 OECOLOGIA,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coleomegilla maculata,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Green peach aphid,Myzus persicae,3rd instar,Raw data,N,21,17.6,,1,314.16,14137.17,4.71E+00,Original species mass,,1.70E-01,Original species mass,,m^2.5 per pred per day,1205,0.61,3.30E-01,2.36E-01,4.43E-01,5.00E-02,3.56E-02,6.20E-02,200,,
1206,Sentis et al 2012 OECOLOGIA,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coleomegilla maculata,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Green peach aphid,Myzus persicae,3rd instar,Raw data,N,21,21.7,,1,314.16,14137.17,4.71E+00,Original species mass,,1.70E-01,Original species mass,,m^2.5 per pred per day,1206,0.46,4.43E-01,3.08E-01,7.24E-01,5.33E-02,3.61E-02,7.39E-02,200,,
1207,Sentis et al 2012 OECOLOGIA,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coleomegilla maculata,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Green peach aphid,Myzus persicae,3rd instar,Raw data,N,21,25.8,,1,314.16,14137.17,4.71E+00,Original species mass,,1.70E-01,Original species mass,,m^2.5 per pred per day,1207,0.71,5.64E-01,4.67E-01,6.94E-01,3.72E-02,3.06E-02,4.30E-02,200,,
1208,Sentis et al 2012 OECOLOGIA,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coleomegilla maculata,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Green peach aphid,Myzus persicae,3rd instar,Raw data,N,21,29.4,,1,314.16,14137.17,4.71E+00,Original species mass,,1.70E-01,Original species mass,,m^2.5 per pred per day,1208,0.76,5.73E-01,4.76E-01,7.09E-01,2.21E-02,1.66E-02,2.71E-02,200,,
1209,Sentis et al 2012 OECOLOGIA,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coleomegilla maculata,3rd instar,Metazoan,Invertebrate,Insect,Hemiptera,Green peach aphid,Myzus persicae,3rd instar,Raw data,N,21,32.8,,1,314.16,14137.17,4.71E+00,Original species mass,,1.70E-01,Original species mass,,m^2.5 per pred per day,1209,0.79,5.54E-01,4.59E-01,6.66E-01,2.38E-02,1.83E-02,2.83E-02,200,,
1210,Sarmento et al 2007 BRAZ ARCH BIOL TECH,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Eriopis connexa,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Potato aphid,Macrosiphum euphorbiae,,Raw data,Y,,25.0,,1,3.14,,2.00E+01,Alternate family length,Family,1.32E+00,Alternate species length,Family,m^2 per pred per day,1210,0.91,8.77E-05,7.72E-05,1.09E-04,8.49E-03,4.94E-10,2.80E-02,200,,
1211,Sarmento et al 2007 BRAZ ARCH BIOL TECH,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Eriopis connexa,Adult female,Metazoan,Invertebrate,Insect,Hemiptera,Potato aphid,Macrosiphum euphorbiae,,Raw data,Y,,25.0,,1,3.14,,2.00E+01,Alternate family length,Family,1.32E+00,Alternate species length,Family,m^2 per pred per day,1211,0.72,1.45E-04,1.15E-04,2.10E-04,1.07E-02,8.45E-03,1.35E-02,200,,
1212,Hassell et al 1977 J OF ANIMAL ECOLOGY,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coccinella septempunctata,Adult,Metazoan,Invertebrate,Insect,Hemiptera,Cabbage aphid,Brevicoryne brassicae,1st instar,Mean,N,,20.0,,1,63.62,,2.02E+01,Average speices mass,,4.45E-03,% adult mass,,m^2 per pred per day,1212,0.79,7.75E-03,2.75E-03,1.43E-02,2.58E-02,4.71E-03,4.96E-02,200,,
1213,Hassell et al 1977 J OF ANIMAL ECOLOGY,Pred,2.00,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coccinella septempunctata,Adult,Metazoan,Invertebrate,Insect,Hemiptera,Cabbage aphid,Brevicoryne brassicae,5th instar,Mean,N,,20.0,,1,63.62,,2.02E+01,Average speices mass,,,,,m^2 per pred per day,1213,0.83,4.40E-03,1.68E-03,9.48E-03,5.33E-02,2.44E-11,1.64E-01,200,Preferred prey offered,
1214,Losey and Denno 1998 ECOLOGY,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Coccinella septempunctata,Adult,Metazoan,Invertebrate,Insect,Hemiptera,Pea aphid,Acyrthosiphon pisum,4th/5th instar,Mean,N,,,,1,113.10,2261.95,2.02E+01,Average speices mass,,1.64E+00,Alternate species length,Family,m^2.5 per pred per day,1214,0.54,1.23E-01,8.19E-02,1.67E-01,2.97E-02,1.78E-02,4.16E-02,200,,
1215,Losey and Denno 1998 ECOLOGY,Pred,2.50,,Terrestrial,,Metazoan,Invertebrate,Insect,Coleoptera,Harpalus pennsylvanicus,Adult,Metazoan,Invertebrate,Insect,Hemiptera,Pea aphid,Acyrthosiphon pisum,4th/5th instar,Mean,N,,,,1,113.10,2261.95,1.27E+02,Alternate species length,Order,1.64E+00,Alternate species length,Family,m^2.5 per pred per day,1215,0.37,4.25E-02,2.46E-02,7.69E-02,5.17E-02,5.65E-09,1.24E-01,200,,
1216,Alexander et al 2014 BIOL LETT,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Micropterus salmoides,Adult,Metazoan,Vertebrate,Amphibian,,Painted  reed frog,Hyperolius marmoratus,tadpole,Mean,N,48,18.1,,1,,300000.00,7.84E+03,Original species length,Species,,,,m^3 per pred per day,1216,0.62,6.25E-01,3.61E-01,1.17E+00,3.69E-02,2.87E-02,4.85E-02,200,,
1217,Alexander et al 2014 BIOL LETT,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Siluriformes,Clarias gariepinus,Adult,Metazoan,Vertebrate,Amphibian,,Marbled reed frog,Hyperolius marmoratus,tadpole,Mean,N,48,18.1,,1,,300000.00,4.32E+03,Original species length,Species,,,,m^3 per pred per day,1217,0.73,2.89E-01,1.58E-01,5.59E-01,4.73E-02,2.32E-02,6.65E-02,200,,
1218,Alexander et al 2014 BIOL LETT,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Sandelia capensis,Adult,Metazoan,Vertebrate,Amphibian,,Marbled reed frog,Hyperolius marmoratus,tadpole,Mean,N,48,18.1,,1,,300000.00,1.08E+04,Original species length,Family,,,,m^3 per pred per day,1218,0.51,5.59E-01,2.20E-01,9.77E-01,8.47E-02,4.90E-02,1.17E-01,200,,
1219,Alexander et al 2014 BIOL LETT,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Glossogobius callidus,Adult,Metazoan,Vertebrate,Amphibian,,Marbled reed frog,Hyperolius marmoratus,tadpole,Mean,N,48,18.1,,1,,300000.00,3.54E+03,Original species length,Species,,,,m^3 per pred per day,1219,0.40,3.89E-01,1.52E-01,9.71E-01,1.04E-01,5.64E-02,1.67E-01,200,,
1220,Townsend and Risebrow 1982 OEC,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Cypriniformes,Abramis brama,Underyearling,Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia magna,,Mean,N,24,25.0,,1,,1800.00,3.54E+03,Original species length,Species ,9.90E-01,Average species mass,,m^3 per pred per day,1220,0.92,1.20E-01,1.03E-01,1.50E-01,2.70E-04,1.95E-04,3.57E-04,200,Light = 1.25 Lux,
1221,Koski and Johnson 2002,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Salmoniformes,Oncorhynchus nerka,"Fingerling, 2m old",Metazoan,Invertebrate,Crustacean,Cladoceran,Daphnia,Daphnia spp.,,Raw data,Y,19.7,19.0,,1,,35000.00,3.00E+03,Original species mass,,4.39E-01,Average genus mass,,m^3 per pred per day,1221,0.62,6.33E+00,4.01E+00,1.20E+01,5.24E-06,7.34E-07,1.05E-05,200,30 Lux,
1222,Moss and Beauchamp 2007 J FISH BIOL,Pred,3.00,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Salmoniformes,Oncorhynchus gorbuscha,Fry (Juvenile),Metazoan,Invertebrate,Crustacean,Copepod,Copepod,Tisbe spp.,,Raw data,Y,48,11.3,,1,,8000.00,6.22E+02,Original species length,Genus,,,,m^3 per pred per day,1222,0.72,1.64E-01,1.06E-01,3.22E-01,2.49E-04,1.63E-04,3.20E-04,200,160,
1223,Moss and Beauchamp 2007 J FISH BIOL,Pred,3.00,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Salmoniformes,Oncorhynchus gorbuscha,Juvenile,Metazoan,Invertebrate,Crustacean,Copepod,Copepod,Tisbe spp.,,Raw data,Y,48,11.0,,5,,50000.00,1.19E+04,Original species length,Genus,,,,m^3 per pred per day,1223,0.15,4.79E-02,5.27E-03,1.02E+04,1.44E-03,2.44E-11,3.15E-03,200,90,
1224,Moss and Beauchamp 2007 J FISH BIOL,Pred,3.00,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Salmoniformes,Oncorhynchus keta,Juvenile,Metazoan,Invertebrate,Crustacean,Copepod,Copepod,Tisbe spp.,,Raw data,Y,48,11.0,,5,,50000.00,1.29E+04,Original species length,Genus,,,,m^3 per pred per day,1224,0.02,1.83E+00,3.75E-02,6.79E+01,5.04E-04,2.38E-04,9.83E-04,200,90,
1225,Moss and Beauchamp 2007 J FISH BIOL,Pred,3.00,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Salmoniformes,Oncorhynchus gorbuscha,Juvenile,Metazoan,Invertebrate,Crustacean,Mysid,Mysid shrimp,(Americamysis bahia) Mysidopsis bahia,,Raw data,Y,48,11.0,,5,,50000.00,1.19E+04,Original species length,Genus,1.00E+00,Alternate species length,Zooplankton,m^3 per pred per day,1225,0.80,1.16E+00,3.97E-01,1.62E+01,5.63E-05,1.29E-05,1.51E-04,200,90,
1226,Moss and Beauchamp 2007 J FISH BIOL,Pred,3.00,,Aquatic,Marine,Metazoan,Vertebrate,Fish,Salmoniformes,Oncorhynchus keta,Juvenile,Metazoan,Invertebrate,Crustacean,Mysid,Mysid shrimp,(Americamysis bahia) Mysidopsis bahia,,Raw data,Y,48,11.0,,5,,50000.00,1.29E+04,Original species length,Genus,1.00E+00,Alternate species length,Zooplankton,m^3 per pred per day,1226,0.51,1.90E+00,1.16E+00,5.29E+00,5.86E-05,3.90E-05,9.19E-05,200,90,
1227,Soluk 1993 ECOLOGY,Pred,2.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Scorpaeniformes,Cottus bairdi,Wild caught,Metazoan,Invertebrate,Insect,Baetidae,Mayfly,Baetis tricaudatus,Larva,Mean,N,24,,,1,1900.00,,9.30E+03,Original species length,Family,4.96E+00,Alternate species length,Order,m^2 per pred per day,1227,0.58,1.43E-01,9.22E-02,2.28E-01,2.37E-03,2.69E-11,5.95E-03,200,,
1228,Soluk 1993 ECOLOGY,Pred,2.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Scorpaeniformes,Cottus bairdi,Wild caught,Metazoan,Invertebrate,Insect,Ephemerellidae,Mayfly,Ephemerella subvaria,Larva,Mean,N,24,,,1,1900.00,,9.30E+03,Original species length,Family,6.66E+00,Alternate species length,Order,m^2 per pred per day,1228,0.37,4.53E-02,2.29E-02,9.67E-02,2.16E-02,4.89E-10,4.80E-02,200,,
1229,Miller et al 1992 CAN J FISH AQUAT SCI,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Clupeiformes,Alosa pseudoharengus,10d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15.0,,10,,20000.00,1.20E+01,Alternate species length,Species,,,,m^3 per pred per day,1229,0.92,2.54E-03,2.35E-03,2.74E-03,6.59E-04,5.93E-04,7.37E-04,200,,
1230,Miller et al 1992 CAN J FISH AQUAT SCI,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Perca flavescens,6d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15.0,,10,,20000.00,1.41E+01,Alternate species length,Species,,,,m^3 per pred per day,1230,0.76,3.12E-03,2.72E-03,3.74E-03,6.14E-04,5.34E-04,6.88E-04,200,,
1231,Miller et al 1992 CAN J FISH AQUAT SCI,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Salmoniformes,Coregonus hoyi,8d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15.0,,10,,20000.00,1.29E+01,Alternate species length,Species,,,,m^3 per pred per day,1231,0.59,1.33E-02,1.19E-02,1.51E-02,1.31E-03,1.26E-03,1.36E-03,200,,
1232,Miller et al 1992 CAN J FISH AQUAT SCI,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Clupeiformes,Alosa pseudoharengus,36d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15.0,,10,,20000.00,8.83E+01,Alternate species length,Species,,,,m^3 per pred per day,1232,0.39,1.83E-01,9.25E-02,3.04E-01,3.49E-05,2.25E-05,4.31E-05,200,,
1233,Miller et al 1992 CAN J FISH AQUAT SCI,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Perca flavescens,34d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15.0,,10,,20000.00,1.14E+02,Alternate species length,Species,,,,m^3 per pred per day,1233,0.38,1.52E-01,8.25E-02,2.28E-01,6.75E-05,4.91E-05,8.82E-05,200,,
1234,Miller et al 1992 CAN J FISH AQUAT SCI,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Salmoniformes,Coregonus hoyi,37d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15.0,,10,,20000.00,1.04E+02,Alternate species length,Species,,,,m^3 per pred per day,1234,0.17,1.77E+00,1.15E+00,2.65E+00,3.74E-05,3.40E-05,4.04E-05,200,,
1235,Miller et al 1992 CAN J FISH AQUAT SCI,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Clupeiformes,Alosa pseudoharengus,37d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15.0,,10,,20000.00,2.84E+02,Alternate species length,Species,,,,m^3 per pred per day,1235,0.58,4.53E-01,2.20E-01,6.46E-01,1.27E-05,9.53E-06,1.67E-05,200,,
1236,Miller et al 1992 CAN J FISH AQUAT SCI,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Perca flavescens,65d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15.0,,10,,20000.00,3.89E+02,Alternate species length,Species,,,,m^3 per pred per day,1236,0.52,1.88E-01,1.23E-01,2.69E-01,1.78E-05,1.18E-05,2.32E-05,200,,
1237,Miller et al 1992 CAN J FISH AQUAT SCI,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Salmoniformes,Coregonus hoyi,67d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15.0,,10,,20000.00,3.52E+02,Alternate species length,Species,,,,m^3 per pred per day,1237,0.85,1.23E+00,1.05E+00,1.46E+00,1.55E-05,1.39E-05,1.75E-05,200,,
1238,Miller et al 1992 CAN J FISH AQUAT SCI,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Clupeiformes,Alosa pseudoharengus,45d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15.0,,10,,20000.00,6.50E+02,Alternate species length,Species,,,,m^3 per pred per day,1238,0.46,5.80E+00,6.14E-01,7.28E+00,1.05E-05,6.09E-06,1.30E-05,200,,
1239,Miller et al 1992 CAN J FISH AQUAT SCI,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Perciformes,Perca flavescens,94d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15.0,,10,,20000.00,9.28E+02,Alternate species length,Species,,,,m^3 per pred per day,1239,0.42,1.39E+00,8.73E-01,2.12E+00,6.97E-06,5.44E-06,8.73E-06,200,,
1240,Miller et al 1992 CAN J FISH AQUAT SCI,Pred,3.00,,Aquatic,Fresh,Metazoan,Vertebrate,Fish,Salmoniformes,Coregonus hoyi,96d old larvae,Metazoan,Invertebrate,Crustacean,Branchiopod,Brine shrimp,Artemia spp.,,Mean,N,24,15.0,,10,,20000.00,8.37E+02,Alternate species length,Species,,,,m^3 per pred per day,1240,0.77,1.03E+01,9.31E+00,1.14E+01,6.39E-06,6.12E-06,6.70E-06,200,,
1241,Moustahfid et al 2010 OEC,Pred,3.00,In the field,Aquatic,Marine,Metazoan,Vertebrate,Fish,Carcharhiniformes,Squalus acanthias,,Metazoan,Vertebrate,Fish,Clupeidae,Atlantic herring,Clupea harengus,,Raw data,Y,,,,,,,4.05E+06,Alternate species length,Species,3.41E+04,Alternate species length,Species,m^3 per pred per day,1241,0.53,3.06E+03,9.32E+02,7.82E+03,6.39E+01,3.64E+01,8.69E+01,200,,
1242,Moustahfid et al 2010 OEC,Pred,3.00,In the field,Aquatic,Marine,Metazoan,Vertebrate,Fish,Carcharhiniformes,Squalus acanthias,,Metazoan,Vertebrate,Fish,Merlucciidae,Silver hake,Merluccius bilinearis,,Raw data,Y,,,,,,,4.05E+06,Alternate species length,Species,4.45E+05,Alternate species length,Species,m^3 per pred per day,1242,0.08,1.17E+00,6.86E-01,2.08E+00,1.30E+02,1.06E+02,1.93E+02,200,,
1243,Moustahfid et al 2010 OEC,Pred,3.00,In the field,Aquatic,Marine,Metazoan,Vertebrate,Fish,Carcharhiniformes,Squalus acanthias,,Metazoan,Vertebrate,Fish,Scombridae,Atlantic mackerel,Scomber scombrus,,Raw data,Y,,,,,,,4.05E+06,Alternate species length,Species,2.21E+05,Alternate species length,Species,m^3 per pred per day,1243,0.18,9.32E+01,5.82E+01,1.93E+02,4.34E+01,4.16E+01,1.04E+02,200,,
1244,Moustahfid et al 2010 OEC,Pred,3.00,In the field,Aquatic,Marine,Metazoan,Vertebrate,Fish,Carcharhiniformes,Squalus acanthias,,Metazoan,Vertebrate,Fish,Loliginidae,Longfin squid,Doryteuthis pealeii,,Raw data,Y,,,,,,,4.05E+06,Alternate species length,Species,8.22E+04,Alternate species length,Species,m^3 per pred per day,1244,0.08,3.36E+00,2.37E+00,4.71E+00,4.52E+01,1.60E+01,9.45E+01,200,,
1245,Moustahfid et al 2010 OEC,Pred,3.00,In the field,Aquatic,Marine,Metazoan,Vertebrate,Fish,Gadiformes,Pollachius virens,,Metazoan,Vertebrate,Fish,Clupeidae,Atlantic herring,Clupea harengus,,Raw data,Y,,,,,,,1.88E+06,Alternate species length,Species,3.41E+04,Alternate species length,Species,m^3 per pred per day,1245,0.28,1.20E+03,1.30E+02,2.10E+04,8.89E+01,1.09E-01,1.79E+02,200,,
1246,Moustahfid et al 2010 OEC,Pred,3.00,In the field,Aquatic,Marine,Metazoan,Vertebrate,Fish,Gadiformes,Pollachius virens,,Metazoan,Vertebrate,Fish,Merlucciidae,Silver hake,Merluccius bilinearis,,Raw data,Y,,,,,,,1.88E+06,Alternate species length,Species,4.45E+05,Alternate species length,Species,m^3 per pred per day,1246,0.35,1.63E+01,1.14E+01,2.16E+01,5.03E+01,1.83E+01,1.12E+02,200,,
1247,Moustahfid et al 2010 OEC,Pred,3.00,In the field,Aquatic,Marine,Metazoan,Vertebrate,Fish,Gadiformes,Merluccius bilinearis,,Metazoan,Vertebrate,Fish,Clupeidae,Atlantic herring,Clupea harengus,,Raw data,Y,,,,,,,4.45E+05,Alternate species length,Species,3.41E+04,Alternate species length,Species,m^3 per pred per day,1247,0.20,5.12E+01,2.75E+01,5.74E+03,4.80E+01,1.92E+01,5.18E+02,200,,
1248,Moustahfid et al 2010 OEC,Pred,3.00,In the field,Aquatic,Marine,Metazoan,Vertebrate,Fish,Gadiformes,Merluccius bilinearis,,Metazoan,Vertebrate,Fish,Merlucciidae,Silver hake,Merluccius bilinearis,,Raw data,Y,,,,,,,4.45E+05,Alternate species length,Species,4.45E+05,Alternate species length,Species,m^3 per pred per day,1248,0.24,3.43E+00,3.09E+00,3.94E+00,2.88E+02,2.88E+02,3.14E+02,200,,
1249,Moustahfid et al 2010 OEC,Pred,3.00,In the field,Aquatic,Marine,Metazoan,Vertebrate,Fish,Gadiformes,Merluccius bilinearis,,Metazoan,Vertebrate,Fish,Scombridae,Atlantic mackerel,Scomber scombrus,,Raw data,Y,,,,,,,4.45E+05,Alternate species length,Species,2.21E+05,Alternate species length,Species,m^3 per pred per day,1249,0.11,4.32E+00,2.43E+00,8.85E+00,1.30E+02,1.00E+02,2.00E+02,200,,
1250,Moustahfid et al 2010 OEC,Pred,3.00,In the field,Aquatic,Marine,Metazoan,Vertebrate,Fish,Gadiformes,Gadus morhua,,Metazoan,Vertebrate,Fish,Clupeidae,Atlantic herring,Clupea harengus,,Raw data,Y,,,,,,,1.03E+07,Alternate species length,Species,3.41E+04,Alternate species length,Species,m^3 per pred per day,1250,0.39,8.82E+03,1.33E+03,1.35E+05,2.02E+01,1.78E+00,2.84E+01,200,,
1251,Moustahfid et al 2010 OEC,Pred,3.00,In the field,Aquatic,Marine,Metazoan,Vertebrate,Fish,Gadiformes,Gadus morhua,,Metazoan,Vertebrate,Fish,Merlucciidae,Silver hake,Merluccius bilinearis,,Raw data,Y,,,,,,,1.03E+07,Alternate species length,Species,4.45E+05,Alternate species length,Species,m^3 per pred per day,1251,0.17,2.19E+01,1.64E+01,3.18E+01,4.47E+01,4.47E+01,9.71E+01,200,,
1252,Moustahfid et al 2010 OEC,Pred,3.00,In the field,Aquatic,Marine,Metazoan,Vertebrate,Fish,Gadiformes,Gadus morhua,,Metazoan,Vertebrate,Fish,Scombridae,Atlantic mackerel,Scomber scombrus,,Raw data,Y,,,,,,,1.03E+07,Alternate species length,Species,2.21E+05,Alternate species length,Species,m^3 per pred per day,1252,0.24,2.68E+01,1.78E+01,4.98E+01,6.68E+01,3.60E+01,1.35E+02,200,,
1253,Moustahfid et al 2010 OEC,Pred,3.00,In the field,Aquatic,Marine,Metazoan,Vertebrate,Fish,Gadiformes,Urophycis tenuis,,Metazoan,Vertebrate,Fish,Clupeidae,Atlantic herring,Clupea harengus,,Raw data,Y,,,,,,,2.84E+06,Alternate species length,Species,3.41E+04,Alternate species length,Species,m^3 per pred per day,1253,0.29,3.94E+03,9.58E+02,4.58E+05,4.46E+01,2.43E+01,6.92E+01,200,,
1254,Moustahfid et al 2010 OEC,Pred,3.00,In the field,Aquatic,Marine,Metazoan,Vertebrate,Fish,Gadiformes,Urophycis tenuis,,Metazoan,Vertebrate,Fish,Merlucciidae,Silver hake,Merluccius bilinearis,,Raw data,Y,,,,,,,2.84E+06,Alternate species length,Species,4.45E+05,Alternate species length,Species,m^3 per pred per day,1254,0.31,3.28E+01,2.23E+01,1.33E+02,3.63E+01,3.47E+01,3.40E+02,200,,
